view	feature_id	Factor1	Factor2	Factor3	Factor4	Factor5	source_dataset	upstream_baseline	analysis_method
rna	X40-augustus_masked-3-ALIPLA_SA	0.6704013920971668	0.0049929280862338185	-0.0016899814462015648	0.18854328652450966	-0.12565947770910818	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	X42-augustus_masked-3-ALIPLA_SA	0.6082078587995544	-0.06977773572887556	0.1628447657204766	-0.24921103902708427	0.01127621331629194	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	X39-augustus_masked-2-CGIPLA_MA	0.6152575104517406	0.0001702004275433035	0.00015483030324086794	0.32513318331030855	-0.22661622555721234	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	X38-augustus_masked-2-CGIPLA_MA	0.619589248525464	-0.0007131037051054265	0.022024582310530404	0.27070100153009435	-0.21488651256816774	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	X41-augustus_masked-3-ALIPLA_SA	0.6030034567207918	0.010425834364244569	-0.0007135901611613611	0.16837284639317857	-0.10179893668584677	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	X43-snap_masked-3-ALIPLA_SA	0.5603036013864271	-0.0696907918005287	0.15345035891187248	-0.23755319113273168	0.01152325672839431	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	X1704-snap_masked-CPD_4-13463	-0.10980443841996666	-0.009767943879193136	-0.09805109018902106	0.21461129288947176	-0.08823208667013879	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	X37-augustus_masked-2-CGIPLA_MA	0.5482737555838713	-0.0004335885725426291	-0.000796219387236696	0.33276457989717473	-0.23057674683082183	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	X876-augustus_masked-YCC-11519	-0.34189379954985744	-0.09904157579678259	-0.0055464938874758675	0.166735752067258	-0.058422499342578156	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	YOR382W	0.07548547408342676	0.09070213881710042	-0.002521368948966936	-0.1865416283630944	-0.028146945949050973	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
rna	YHR054W-A	0.2470924716255352	0.0004926437516491579	0.1006482911238643	-0.19435914964286552	0.17142898533104559	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
