sample_id	Factor1	Factor2	Factor3	Factor4	Factor5	source_dataset	upstream_baseline	analysis_method
AAA	-1.5900077845593077	2.2324295228876867	0.501878946013779	-1.081635693545416	3.2036153504411367	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAD	-1.4031015298831797	-1.035033282397428	0.41386900079613775	0.8931246969424997	0.09369901474182196	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAG	0.2902373257894632	-3.1693810579772683	2.6461954468924977	2.0272957747554723	-3.4641863826832697	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAH	0.372229834113614	-3.5047308940521686	-2.3981302856156104	1.3294267227891234	-3.0603929027089305	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAI	-1.2263190966562516	1.197722936061134	-1.176873886228488	-3.450845653947123	1.092713717196489	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAK	2.0894066386949013	-3.250521855501287	0.00497587830416252	-1.0023318906601333	-1.728891407600154	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAL	1.0800191294393862	-0.3350471534180675	-1.845969943124692	3.1782660820288453	0.5717685147007686	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAM	1.4874770737971363	-0.7383631626244967	-5.096250880711567	2.965886477061783	1.538263758733715	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAP	0.4289173661614585	-0.9616489792128677	-3.9967540792650236	3.7797110715363864	-1.3328331540522433	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAQ	0.9189613395898669	-2.1216301620304803	-1.4011100753987247	0.4654555914783067	-2.617303919482301	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAR	1.7964355781391528	-3.614424193959027	-2.5649025400642036	1.3791738126625663	1.5907707984960446	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAS	0.9623239480346466	-0.0011616273226131306	-0.9135983165557334	0.3321334169837995	-2.4036740699466574	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAT	0.6771988340668248	-2.940588333310789	1.6483321805724622	0.5456749118261346	-2.587673853159365	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAV	1.1406082385495413	0.7254804799664409	0.3132923076270871	0.10230094799711248	-2.256251168719086	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABA	0.8174850408258632	-0.48827446711874256	-1.8952228430003082	0.32170459385619177	-2.369913794495438	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABB	-3.93835707044239	0.8267997890213327	0.9864635926463692	0.6034851206681227	-0.7338756516580148	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABC	-0.3960481781881399	-3.2181636199894985	1.1210653341195425	3.5253161799621933	-2.072788533831044	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABD	0.4603762815049002	-2.322220957649296	1.8238722811748034	1.0115176628751752	-2.6059255388035387	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABF	0.059946944625096296	-2.30198026526037	0.21044302145382884	3.132632576065431	0.005839782200073856	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABG	1.1421170058517114	2.0227753831841637	-0.8749599617726799	0.4766576588841134	-2.5082264875623896	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABH	0.6369142329752842	0.8842141041764701	2.439830324762411	0.47503391667546835	-2.4664022290661274	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABI	-0.11556094223765731	-2.4758410398118875	3.677830473111626	2.1946384055887957	-3.670239552171409	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABK	-2.676422661343253	1.7205250851926401	1.1547239720908105	-0.09023778996411277	-0.9082566752769868	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABL	-2.8504282187649883	-3.2117926628205016	-1.2071029239482298	-0.8924570140527113	-0.40379211723493297	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABM	1.8178434856989483	-3.472140247476007	-1.202865207806219	1.5984536003915937	1.3605997025102083	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABP	1.9148279583142027	-1.102548526934928	0.8791342025950757	-0.8656390071557256	-1.8585102945679297	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABQ	1.8859691217429317	0.004605431351105256	-0.24369603504409665	-1.9392100951584395	-0.9505858672741591	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABR	2.067416287788416	0.0555512105490514	-1.2406012703365505	-1.9007078782244429	-1.0818262112304595	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABS	2.131563562757588	2.238409625144464	-1.511073040167629	-1.8519350966704713	-1.0760786757387695	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABT	1.7162819700388823	-0.7075596763372959	0.7688694679451977	0.6177563476595261	1.3806532919442929	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABV	0.33843375168336487	2.560210640817261	-2.4065012821004563	2.7802550449384067	-0.11476117594700731	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACA	1.190850936369167	-1.1308336656612512	0.34359535238551964	0.22863294979194623	-0.6854751660459594	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACB	1.4474960265423849	-2.3646088043918665	-0.30791186058376074	-1.011820626006735	-1.5614910520565501	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACC	-1.2865167417831647	-0.8251464176961828	2.4719119202299766	0.1106990423240164	-0.30319997406555593	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACD	-2.8796743607142687	-1.001861324912554	2.627062518491641	-1.0625373130043059	-0.40936378005980734	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACF	1.991734170782411	-2.8066709411681936	1.1778134192601812	-1.3253296291100025	-1.5923691551499197	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACG	0.29224549633701097	1.5985766042540674	2.6210732497359945	2.520076173791401	-3.9595522060352257	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACH	0.20417899769981257	-0.49595317939254285	2.6575083714177437	2.223517105184799	-3.7832684136499863	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
